n = 11;
t = 4;
r = 3;
d = 2;

P =
  [
    [ 0 1 0 1 0 0 1 0 0 1 0 ]
    [ 1 0 0 0 0 0 1 1 1 0 0 ]
    [ 0 0 0 0 0 0 0 0 0 0 1 ]
    [ 1 0 0 0 0 0 0 0 1 0 0 ]
    [ 0 0 0 0 0 1 0 1 0 0 1 ]
    [ 0 0 0 0 1 0 0 1 1 1 0 ]
    [ 1 1 0 0 0 0 0 0 0 0 0 ]
    [ 0 1 0 0 1 1 0 0 0 0 1 ]
    [ 0 1 0 1 0 1 0 0 0 0 0 ]
    [ 1 0 0 0 0 1 0 0 0 0 0 ]
    [ 0 0 1 0 1 0 0 1 0 0 0 ]
  ];

S =
  [
    [ 0 0 0 0 0 0 0 0 1 0 1 ]
    [ 0 0 1 0 0 0 0 0 0 1 1 ]
    [ 0 1 0 0 0 1 1 1 1 1 0 ]
    [ 0 0 0 0 1 1 0 1 0 1 1 ]
    [ 0 0 0 1 0 0 0 0 1 1 0 ]
    [ 0 0 1 1 0 0 1 0 0 0 0 ]
    [ 0 0 1 0 0 1 0 0 0 1 1 ]
    [ 0 0 1 1 0 0 0 0 1 1 0 ]
    [ 1 0 1 0 1 0 0 1 0 1 0 ]
    [ 0 1 1 1 1 0 1 1 1 0 0 ]
    [ 1 1 0 1 0 0 1 0 0 0 0 ]
  ];
